Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,DayOfWeek,Holiday,Hour,Day,Month,WeekendLabel,TimePeriodLabel
-1.32,-0.44,1.67,5.0,-1.0,0.0,-0.25,0.0,0.25,-0.73,-0.83,0.0,-0.33
-0.7,-1.27,0.5,5.0,-1.0,1.0,-0.25,0.0,0.33,-0.73,-0.83,0.0,-0.33
-0.58,-1.17,-0.5,2.0,-1.0,1.0,-0.25,0.0,0.42,-0.73,-0.83,0.0,-0.33
0.15,-0.96,-0.5,2.0,0.0,0.0,-0.25,1.0,0.5,-0.73,-0.83,0.0,0.0
-0.5,-0.55,1.67,0.0,0.0,1.0,-0.25,0.0,0.58,-0.73,-0.83,0.0,0.0
-0.33,-0.05,0.0,-2.0,-1.0,1.0,-0.25,0.0,0.67,-0.73,-0.83,0.0,0.0
-0.4,-0.66,0.5,0.0,-1.0,0.0,-0.25,0.0,0.75,-0.73,-0.83,0.0,0.0
-0.72,0.39,-0.5,0.0,0.0,1.0,-0.25,0.0,0.83,-0.73,-0.83,0.0,0.33
-0.14,-0.14,-0.83,-1.0,-1.0,1.0,-0.25,1.0,0.92,-0.73,-0.83,0.0,0.33
-0.31,0.07,0.5,-2.0,-1.0,1.0,-0.25,0.0,1.0,-0.73,-0.83,0.0,0.33
-0.38,0.91,0.0,0.0,-1.0,1.0,0.0,0.0,-0.92,-0.67,-0.83,0.0,0.33
-0.94,-0.67,0.0,-2.0,-1.0,1.0,0.0,0.0,-0.83,-0.67,-0.83,0.0,0.33
-0.42,0.39,0.0,-1.0,0.0,0.0,0.0,0.0,-0.75,-0.67,-0.83,0.0,0.33
-1.28,0.25,-0.83,0.0,0.0,1.0,0.0,0.0,-0.67,-0.67,-0.83,0.0,0.33
-0.84,-0.07,0.5,0.0,0.0,0.0,0.0,0.0,-0.58,-0.67,-0.83,0.0,0.33
-0.49,0.75,1.67,-2.0,-1.0,1.0,0.0,0.0,-0.5,-0.67,-0.83,0.0,-0.67
-1.42,0.93,0.83,0.0,0.0,1.0,0.0,0.0,-0.42,-0.67,-0.83,0.0,-0.67
-1.34,-0.42,-0.5,-2.0,0.0,1.0,0.0,0.0,-0.33,-0.67,-0.83,0.0,-0.67
-1.18,0.11,-0.5,0.0,0.0,0.0,0.0,0.0,-0.25,-0.67,-0.83,0.0,-0.67
-1.33,0.47,0.83,1.0,0.0,0.0,0.0,0.0,-0.17,-0.67,-0.83,0.0,-0.67
-1.45,0.09,0.0,3.0,0.0,1.0,0.0,0.0,-0.08,-0.67,-0.83,0.0,-0.67
-1.07,0.64,0.0,4.0,-1.0,0.0,0.0,0.0,0.0,-0.67,-0.83,0.0,-0.67
-1.29,0.47,1.67,7.0,0.0,1.0,0.0,0.0,0.08,-0.67,-0.83,0.0,-0.33
-0.78,1.5,0.0,8.0,0.0,0.0,0.0,0.0,0.17,-0.67,-0.83,0.0,-0.33
-1.05,-0.91,0.0,5.0,0.0,0.0,0.0,0.0,0.25,-0.67,-0.83,0.0,-0.33
-0.28,-0.03,-1.17,5.0,0.0,0.0,0.0,0.0,0.33,-0.67,-0.83,0.0,-0.33
-0.81,-0.5,-1.17,3.0,0.0,1.0,0.0,0.0,0.42,-0.67,-0.83,0.0,-0.33
-0.6,0.56,-1.17,1.0,-1.0,0.0,0.0,0.0,0.5,-0.67,-0.83,0.0,0.0
-0.23,-1.14,1.67,-2.0,-1.0,1.0,0.0,0.0,0.58,-0.67,-0.83,0.0,0.0
-0.74,0.4,-0.5,-1.0,0.0,0.0,0.0,0.0,0.67,-0.67,-0.83,0.0,0.0
-0.33,-0.39,0.0,-2.0,-1.0,1.0,0.0,0.0,0.75,-0.67,-0.83,0.0,0.0
-0.06,-0.53,0.83,-1.0,-1.0,0.0,0.0,0.0,0.83,-0.67,-0.83,0.0,0.33
-0.88,-0.88,0.0,-1.0,0.0,1.0,0.0,0.0,0.92,-0.67,-0.83,0.0,0.33
-0.46,-0.25,0.0,-2.0,-1.0,0.0,0.0,0.0,1.0,-0.67,-0.83,0.0,0.33
-0.53,0.9,-0.5,0.0,-1.0,0.0,0.25,0.0,-0.92,-0.6,-0.83,0.0,0.33
-0.48,0.08,0.83,0.0,0.0,0.0,0.25,0.0,-0.83,-0.6,-0.83,0.0,0.33
-1.13,0.69,-0.83,0.0,-1.0,1.0,0.25,0.0,-0.75,-0.6,-0.83,0.0,0.33
-1.26,1.47,-1.17,-1.0,0.0,1.0,0.25,1.0,-0.67,-0.6,-0.83,0.0,0.33
-0.86,0.37,-0.83,-1.0,-1.0,0.0,0.25,0.0,-0.58,-0.6,-0.83,0.0,0.33
-1.01,-0.2,-0.5,0.0,0.0,1.0,0.25,0.0,-0.5,-0.6,-0.83,0.0,-0.67
-1.08,0.56,-0.5,-1.0,-1.0,1.0,0.25,0.0,-0.42,-0.6,-0.83,0.0,-0.67
-1.1,-0.18,0.5,-1.0,0.0,0.0,0.25,0.0,-0.33,-0.6,-0.83,0.0,-0.67
-1.39,-0.09,-0.83,0.0,0.0,0.0,0.25,0.0,-0.25,-0.6,-0.83,0.0,-0.67
-1.13,-0.88,0.5,0.0,0.0,0.0,0.25,0.0,-0.17,-0.6,-0.83,0.0,-0.67
-1.07,0.89,-1.17,4.0,-1.0,1.0,0.25,0.0,-0.08,-0.6,-0.83,0.0,-0.67
-1.28,-0.02,-0.83,6.0,0.0,1.0,0.25,0.0,0.0,-0.6,-0.83,0.0,-0.67
-0.5,0.23,0.0,5.0,-1.0,0.0,0.25,0.0,0.08,-0.6,-0.83,0.0,-0.33
-0.78,-0.6,1.67,7.0,0.0,0.0,0.25,0.0,0.17,-0.6,-0.83,0.0,-0.33
-1.12,0.55,0.83,7.0,0.0,0.0,0.25,0.0,0.25,-0.6,-0.83,0.0,-0.33
-0.52,-0.45,2.5,6.0,-1.0,0.0,0.25,0.0,0.33,-0.6,-0.83,0.0,-0.33
-0.86,0.07,0.5,3.0,0.0,0.0,0.25,0.0,0.42,-0.6,-0.83,0.0,-0.33
-0.3,0.7,0.5,1.0,0.0,0.0,0.25,0.0,0.5,-0.6,-0.83,0.0,0.0
-0.14,0.61,0.0,-2.0,0.0,1.0,0.25,1.0,0.58,-0.6,-0.83,0.0,0.0
-0.63,0.11,0.0,-1.0,0.0,0.0,0.25,0.0,0.67,-0.6,-0.83,0.0,0.0
-0.13,-1.27,-0.83,0.0,0.0,1.0,0.25,0.0,0.75,-0.6,-0.83,0.0,0.0
-0.3,2.25,0.0,-1.0,-1.0,0.0,0.25,0.0,0.83,-0.6,-0.83,0.0,0.33
-0.23,1.32,-0.5,-1.0,-1.0,1.0,0.25,0.0,0.92,-0.6,-0.83,0.0,0.33
-0.0,0.53,-0.5,-2.0,-1.0,1.0,0.25,0.0,1.0,-0.6,-0.83,0.0,0.33
-0.66,-0.42,0.0,-2.0,-1.0,1.0,0.5,0.0,-0.92,-0.53,-0.83,1.0,0.33
-0.9,0.1,-0.83,0.0,-1.0,0.0,0.5,0.0,-0.83,-0.53,-0.83,1.0,0.33
-1.04,-0.19,-0.5,0.0,-1.0,0.0,0.5,0.0,-0.75,-0.53,-0.83,1.0,0.33
-1.12,1.15,-1.17,-1.0,-1.0,0.0,0.5,0.0,-0.67,-0.53,-0.83,1.0,0.33
-1.02,0.4,2.5,0.0,-1.0,1.0,0.5,0.0,-0.58,-0.53,-0.83,1.0,0.33
-0.99,-0.37,-0.83,0.0,-1.0,1.0,0.5,1.0,-0.5,-0.53,-0.83,1.0,-0.67
-1.08,-0.13,-0.5,-1.0,-1.0,1.0,0.5,0.0,-0.42,-0.53,-0.83,1.0,-0.67
-0.97,1.02,0.83,-1.0,0.0,0.0,0.5,0.0,-0.33,-0.53,-0.83,1.0,-0.67
-1.2,1.41,0.0,-1.0,0.0,0.0,0.5,1.0,-0.25,-0.53,-0.83,1.0,-0.67
-0.8,1.28,-0.83,-2.0,0.0,0.0,0.5,0.0,-0.17,-0.53,-0.83,1.0,-0.67
-1.22,0.8,-0.5,-2.0,0.0,0.0,0.5,0.0,-0.08,-0.53,-0.83,1.0,-0.67
-0.35,-0.11,-0.83,-1.0,-1.0,0.0,0.5,0.0,0.0,-0.53,-0.83,1.0,-0.67
-0.83,-2.2,-0.83,-2.0,0.0,1.0,0.5,0.0,0.08,-0.53,-0.83,1.0,-0.33
-1.14,0.45,-1.17,-2.0,0.0,0.0,0.5,0.0,0.17,-0.53,-0.83,1.0,-0.33
-1.09,0.22,-0.5,-2.0,0.0,0.0,0.5,0.0,0.25,-0.53,-0.83,1.0,-0.33
-0.56,0.22,0.83,0.0,-1.0,0.0,0.5,0.0,0.33,-0.53,-0.83,1.0,-0.33
-0.66,0.17,0.0,-1.0,0.0,0.0,0.5,0.0,0.42,-0.53,-0.83,1.0,-0.33
-0.32,-0.91,0.0,-1.0,0.0,0.0,0.5,0.0,0.5,-0.53,-0.83,1.0,0.0
-0.32,0.47,-0.83,0.0,-1.0,1.0,0.5,0.0,0.58,-0.53,-0.83,1.0,0.0
-0.43,0.55,-0.5,-2.0,0.0,1.0,0.5,0.0,0.67,-0.53,-0.83,1.0,0.0
-0.62,0.62,0.83,-1.0,0.0,1.0,0.5,0.0,0.75,-0.53,-0.83,1.0,0.0
-0.82,0.86,-1.17,-2.0,0.0,1.0,0.5,0.0,0.83,-0.53,-0.83,1.0,0.33
-0.57,0.56,0.83,0.0,0.0,1.0,0.5,0.0,0.92,-0.53,-0.83,1.0,0.33
-0.28,-0.24,0.0,-2.0,0.0,1.0,0.5,0.0,1.0,-0.53,-0.83,1.0,0.33
-0.54,0.06,0.83,0.0,-1.0,0.0,0.75,0.0,-0.92,-0.47,-0.83,1.0,0.33
-1.03,0.28,-0.5,0.0,0.0,1.0,0.75,0.0,-0.83,-0.47,-0.83,1.0,0.33
-0.75,0.23,-0.5,-2.0,0.0,1.0,0.75,0.0,-0.75,-0.47,-0.83,1.0,0.33
-0.8,0.89,0.5,-2.0,-1.0,1.0,0.75,0.0,-0.67,-0.47,-0.83,1.0,0.33
-1.24,0.72,0.5,-1.0,0.0,0.0,0.75,1.0,-0.58,-0.47,-0.83,1.0,0.33
-1.04,1.73,-0.83,0.0,-1.0,1.0,0.75,0.0,-0.5,-0.47,-0.83,1.0,-0.67
-1.13,1.84,2.5,-2.0,0.0,1.0,0.75,0.0,-0.42,-0.47,-0.83,1.0,-0.67
-1.45,0.35,-1.17,-2.0,-1.0,0.0,0.75,0.0,-0.33,-0.47,-0.83,1.0,-0.67
-1.11,-2.58,-1.17,-1.0,-1.0,0.0,0.75,0.0,-0.25,-0.47,-0.83,1.0,-0.67
-1.04,1.11,0.0,-1.0,0.0,0.0,0.75,0.0,-0.17,-0.47,-0.83,1.0,-0.67
-0.86,-0.22,0.5,-1.0,0.0,1.0,0.75,0.0,-0.08,-0.47,-0.83,1.0,-0.67
-0.8,-0.42,2.5,0.0,0.0,0.0,0.75,0.0,0.0,-0.47,-0.83,1.0,-0.67
-1.37,-0.01,-0.5,-1.0,-1.0,1.0,0.75,0.0,0.08,-0.47,-0.83,1.0,-0.33
-1.16,-0.09,-1.17,0.0,0.0,0.0,0.75,0.0,0.17,-0.47,-0.83,1.0,-0.33
-0.66,0.58,0.0,-1.0,0.0,0.0,0.75,0.0,0.25,-0.47,-0.83,1.0,-0.33
-0.56,-1.03,-0.5,0.0,-1.0,0.0,0.75,0.0,0.33,-0.47,-0.83,1.0,-0.33
-0.46,-0.7,-0.5,-1.0,0.0,0.0,0.75,0.0,0.42,-0.47,-0.83,1.0,-0.33
0.53,0.14,0.0,0.0,0.0,0.0,0.75,0.0,0.5,-0.47,-0.83,1.0,0.0
-0.29,0.51,-1.17,-1.0,-1.0,1.0,0.75,0.0,0.58,-0.47,-0.83,1.0,0.0
-0.1,0.49,0.0,-1.0,-1.0,1.0,0.75,0.0,0.67,-0.47,-0.83,1.0,0.0
-0.14,-0.55,-0.5,-2.0,-1.0,1.0,0.75,1.0,0.75,-0.47,-0.83,1.0,0.0
-0.23,-0.67,0.5,0.0,-1.0,1.0,0.75,0.0,0.83,-0.47,-0.83,1.0,0.33
-0.53,-0.26,0.0,-2.0,-1.0,1.0,0.75,1.0,0.92,-0.47,-0.83,1.0,0.33
-0.31,0.24,-0.83,0.0,-1.0,0.0,0.75,0.0,1.0,-0.47,-0.83,1.0,0.33
-0.81,1.25,-0.83,-2.0,0.0,0.0,-0.75,0.0,-0.92,-0.4,-0.83,0.0,0.33
-0.76,-1.34,-0.5,-1.0,-1.0,1.0,-0.75,0.0,-0.83,-0.4,-0.83,0.0,0.33
-0.93,0.03,-0.83,-2.0,0.0,1.0,-0.75,0.0,-0.75,-0.4,-0.83,0.0,0.33
-0.88,-0.8,0.5,-1.0,-1.0,1.0,-0.75,0.0,-0.67,-0.4,-0.83,0.0,0.33
-0.38,-1.13,2.5,0.0,0.0,0.0,-0.75,0.0,-0.58,-0.4,-0.83,0.0,0.33
-1.45,1.0,0.5,-1.0,0.0,0.0,-0.75,0.0,-0.5,-0.4,-0.83,0.0,-0.67
-0.97,0.59,0.0,-2.0,0.0,1.0,-0.75,0.0,-0.42,-0.4,-0.83,0.0,-0.67
-1.45,0.62,-0.5,0.0,-1.0,0.0,-0.75,0.0,-0.33,-0.4,-0.83,0.0,-0.67
-1.33,0.94,-0.5,-2.0,0.0,0.0,-0.75,0.0,-0.25,-0.4,-0.83,0.0,-0.67
-0.9,-0.17,1.67,1.0,0.0,0.0,-0.75,0.0,-0.17,-0.4,-0.83,0.0,-0.67
-1.13,-0.09,2.5,3.0,-1.0,0.0,-0.75,0.0,-0.08,-0.4,-0.83,0.0,-0.67
-1.38,1.88,0.0,4.0,0.0,0.0,-0.75,0.0,0.0,-0.4,-0.83,0.0,-0.67
-1.2,0.06,-0.5,7.0,0.0,1.0,-0.75,0.0,0.08,-0.4,-0.83,0.0,-0.33
-0.72,0.68,0.5,6.0,-1.0,1.0,-0.75,0.0,0.17,-0.4,-0.83,0.0,-0.33
-1.0,0.21,-0.83,6.0,0.0,0.0,-0.75,0.0,0.25,-0.4,-0.83,0.0,-0.33
-0.64,-1.22,0.5,6.0,0.0,0.0,-0.75,0.0,0.33,-0.4,-0.83,0.0,-0.33
-0.58,-1.38,0.83,2.0,-1.0,0.0,-0.75,0.0,0.42,-0.4,-0.83,0.0,-0.33
-0.69,-0.28,-0.83,1.0,0.0,1.0,-0.75,0.0,0.5,-0.4,-0.83,0.0,0.0
0.13,0.75,2.5,0.0,-1.0,1.0,-0.75,0.0,0.58,-0.4,-0.83,0.0,0.0
-0.24,0.62,2.5,-2.0,-1.0,1.0,-0.75,0.0,0.67,-0.4,-0.83,0.0,0.0
-0.94,0.86,1.67,0.0,0.0,1.0,-0.75,0.0,0.75,-0.4,-0.83,0.0,0.0
